the education(al) system	le système éducatif
compulsory schooling	la scolarité obligatoire
a school-age child	un enfant d’âge scolaire
providing education for children	la scolarisation des enfants
to educate	éduquer, instruire
the teachers / the members of staff	le personnel enseignant
to teach / teaching	enseigner / l’enseignement
to learn	apprendre (soi-même)
to study	étudier, faire des études
to attend a school	fréquenter une école
school attendance	l’assiduité
school fees	les frais de scolarité
a literacy campaign	une campagne d’alphabétisation
to be literate and numerate	savoir lire, écrire et compter
illiteracy	l’illettrisme, l’analphabétisme
a nursery school	une école maternelle
a primary school	une école primaire
a mixed school / a girls’ school	une école mixte / une école de filles
a state school	une école publique
a secondary school pupil	un élève du secondaire
a comprehensive (school)	un établissement secondaire (au RU)
a grammar school	un lycée (avec sélection à l’entrée)
a high school	un lycée (aux USA ou au RU)
a public school	(UK) une école privée (prestigieuse)
a(n) private / independent school	une école privée
a vocational school	un lycée professionnel
a technical college	un lycée technique
further education	l’enseignement postscolaire
higher education	l’enseignement supérieur
a student	un(e) étudiant(e)
to go to university / (US) to college	aller à l’université
tuition fees	les frais d’inscription à l’université
top-up fees	les frais complémentaires (à l’univ.)
a grant	une bourse
Oxbridge	les universités d’Oxford et de Cambridge
the Ivy League	le groupe de 8 universités célèbres du nord-est des États-Unis
a graduate	un diplômé, un licencié
