modern woman	la femme moderne
a working woman / working mother	une femme / mère qui travaille
to pour into / to flood the job market	envahir le marché du travail
female employment	l’emploi féminin
to have a paid job	avoir un emploi rémunéré
to take up a career	embrasser une carrière
a full time job	un emploi à plein temps
a part time job	un emploi à mi-temps
to work full time / part time	travailler à plein temps / à mi-temps
a part-timer	un travailleur à temps partiel
maternity leave	les congés de maternité
to take time off after a birth	prendre un congé après une naissance
a nanny	une nourrice
a creche / (US) a day care center	une crèche
a nursery	une garderie
flexitime / (US) flextime	l’aménagement du temps de travail
to work child friendly hours	avoir des horaires compatibles avec ceux des enfants
to have school age children	avoir des enfants en âge scolaire
to be economically active	avoir une activité professionnelle
to be economically independent (of)	être économiquement indépendante
to achieve financial independence	gagner l’indépendance financière
to be dependent on one’s husband	dépendre de son mari
to earn one’s own money	gagner son propre argent
a dual-income couple	un couple bi-actif
to be a breadwinner	être soutien de famille
to be underpaid	être sous-payée
to make it to the top	arriver au sommet, réussir
to hold a top job	occuper un poste à responsabilité
a menial job / a lower-status job	un emploi subalterne
to be up to the job / equal to the job	faire l’affaire, être à la hauteur
a career woman	une carriériste
to multitask	être capable de mener plusieurs tâches de front
to combine / to balance / to juggle work and family	concilier travail et vie de famille
to require stamina	nécessiter de la résistance
to be always on the run	courir perpétuellement
self-fulfilment / self-realization	l’épanouissement personnel
homemakers	femmes d'intérieur
to ran out of stream	être à bout de souffle
an autonomy previously unknown	une autonomie jamais connue auparavant
to account for almost half of the labour force	représenter presque la moitié de la main-d'oeuvre
having tasted the freedom of the workplace	ayant goûté à la liberté du lieu de travail
to be unlikely to turn back	il y a peu de chances qu'elles fassent marche arrière
to think of sending women back to the stove	penser à renvoyer les femmes aux fourneaux
on hold	entre parenthèses
quite a number of women	un nombre non négligeable de femmes
to leave themselves a way out in the event of a divorce	proteger leurs arrières au cas où elles divorceraient
biggest complaint is lack of time	la principale plainte est le manque de temps
they gain in spending power	elles gagnent en pouvoir d'achat
that used to be	qui était jadis
the difference between just getting by and living comfortably	la différence entre juste joindre les deux bouts et vivre confortablement
all too often	bien trop souvent
